IID X.A X.B X.C X.D
DK28 0.210321534658618 0.401600446402258 0.202216488650377 0.185861530288748
DK29 0.046943146498001 0.037693651443761 0.0223437703244117 0.893019431733826
DK30 0.0208727791630566 0.0377624861727971 0.0192567768430357 0.922107957821111
DK31 0.0503382360737646 0.0545789182751163 0.871851833724345 0.0232310119267746
DK32 0.0480557308340868 0.0397497988923477 0.0213928821543175 0.890801588119248
DK33 0.203313365014165 0.378218792823929 0.230399532333083 0.188068309828823
DK34 0.0343643169201829 0.0510729386903789 0.0308683948500869 0.883694349539351
DK35 0.0549016594929538 0.0380102321042283 0.0232996766865791 0.883788431716239
DK36 0.0191892641753984 0.0295412214562861 0.0180674462585311 0.933202068109784
DK37 0.0570372856075403 0.0279159176424889 0.0144866417605142 0.900560154989457
DK38 0.0508269564403902 0.0534289825233143 0.0420429587875785 0.853701102248717
DK39 0.057271006985963 0.111917973453852 0.765440193001922 0.0653708265582632
FR01 0.106325282907147 0.0532056686368141 0.805862050414106 0.0346069980419328
FR02 0.0912197825587052 0.059545931955666 0.812978703397435 0.0362555820881937
FR03 0.0982684329912487 0.0902840389188602 0.757515606484734 0.0539319216051568
FR04 0.0823591111528694 0.0626643599581655 0.818928320513909 0.0360482083750559
FR05 0.0929405069061485 0.053632059689785 0.820121593288876 0.0333058401151905
FR06 0.0925373246796423 0.0560714193259068 0.818115451459745 0.0332758045347065
FR07 0.107219923678894 0.0524868718672895 0.808946662144263 0.031346542309553
FR08 0.0900820713316685 0.101101637798965 0.757027887326061 0.0517884035433051
FR10 0.130041762480588 0.0608965063592675 0.773351830921509 0.0357099002386353
FR12 0.10377316096677 0.0934899502742473 0.75127461967175 0.0514622690872335
FR13 0.0176697093703716 0.0123668638236779 0.964387934252296 0.00557549255365408
FR15 0.104843851332193 0.0713400918274481 0.782097401734323 0.0417186551060364
FR16 0.0880335386561865 0.0627517717277499 0.812298868060423 0.0369158215556405
FR17 0.0784954694741238 0.084075868715472 0.792971176593381 0.044457485217023
FR19 0.0178122565620807 0.0144401388526405 0.961557265965406 0.00619033861987251
FR20 0.0216445744060749 0.0111490199675534 0.961779377033295 0.00542702859307641
FR21 0.0184756877425212 0.0123375801126729 0.96403216393964 0.00515456820516616
FY01 0.0546889766962414 0.0642056215792807 0.847046899880967 0.0340585018435109
FY02 0.125376676757626 0.235265664735253 0.529983274955796 0.109374383551326
FY03 0.174024572320202 0.343341949605722 0.332712386609261 0.149921091464815
FY04 0.0673287852265261 0.0792909488751634 0.811782795295035 0.0415974706032754
FY05 0.0988181131754739 0.136227209651229 0.69517268511932 0.0697819920539775
FY06 0.0687682461936922 0.0758559549347159 0.815924555636748 0.0394512432348438
FY07 0.0393440692783955 0.0224977843454764 0.0453420815945819 0.892816064781546
FY09 0.0632663366166987 0.077399387368744 0.817560984709654 0.0417732913049036
FY10 0.0370135658688501 0.0276471805444229 0.146647162715785 0.788692090870942
FY11 0.0138891015796113 0.0146646182823127 0.962364280355674 0.00908199978240136
FY12 0.0890292556567978 0.10388470749345 0.753614564714826 0.0534714721349254
FY13 0.024116008656465 0.0365243766524005 0.921117351664989 0.0182422630261457
FY14 0.0581354456792117 0.0708504188700598 0.83391036041174 0.0371037750389879
FY15 0.0142832470723241 0.0171029330300505 0.962050439141159 0.00656338075646689
FY16 0.0632085795772885 0.0645560228357664 0.836642387729598 0.0355930098573477
FY17 0.0561699120673011 0.0655457213202065 0.842970459180325 0.0353139074321676
FY18 0.118587534262852 0.185655543427787 0.602010874160672 0.093746048148689
HH01 0.106256988030652 0.060937369642966 0.795810834410967 0.036994807915415
HH02 0.0668132304156294 0.0874790221487997 0.799645618947357 0.0460621284882141
HH03 0.0774669794311335 0.0910263779448298 0.782732276494575 0.0487743661294616
HH04 0.0809396956177254 0.0627421448681941 0.821627119663063 0.0346910398510176
HH05 0.0783549373812342 0.0667070735644022 0.820382543726714 0.0345554453276493
HH07 0.0496303996468164 0.0671063204550109 0.848993864939911 0.0342694149582612
HH08 0.0788398612403373 0.0879924058728642 0.787076433104616 0.0460912997821827
HH09 0.0714807910332027 0.0758923998648571 0.813705859425861 0.0389209496760795
HH10 0.0145481859211104 0.0141529317863109 0.96543667844945 0.00586220384312912
HH11 0.0696233181739349 0.0725070131649429 0.821273868717662 0.0365957999434604
HH12 0.0123407409857964 0.0200971401509149 0.959343756561294 0.00821836230199437
HH13 0.107373269503928 0.149200951310138 0.66518129171566 0.0782444874702742
HH16 0.0126411697516152 0.0130222457533203 0.969175852116556 0.00516073237850807
HH17 0.017220015472196 0.0303536940166543 0.940021535046823 0.0124047554643262
HH18 0.0867248086388214 0.106836906553008 0.750027136176983 0.0564111486311876
JB02 0.0896145589336565 0.079794719197935 0.787567397216713 0.0430233246516954
JB03 0.0133442469578711 0.013056110766042 0.968390922704724 0.00520871957136308
JB04 0.0191625801345876 0.0169549682281345 0.956731086464813 0.00715136517246484
JB05 0.0121137073533539 0.0150749912350895 0.967122542283098 0.00568875912845825
JB07 0.125745665576854 0.105546275872822 0.7109305826651 0.0577774758852244
JB10 0.181671187968243 0.134690064880922 0.608596210498539 0.0750425366522961
JB13 0.076834105590218 0.0893870109318914 0.787101435066571 0.0466774484113192
JB15 0.164075676876463 0.0757641786251033 0.714689192220174 0.0454709522782602
JB16 0.10078414936268 0.0736166578155873 0.78319917059707 0.0424000222246626
JB17 0.0982169683204587 0.0744276451091989 0.784347633466739 0.0430077531036032
NB01 0.00781764584199167 0.00252738030467366 0.00141998532438298 0.988234988528952
